Englisg word,French word,Frequency
abide,respecter,27
about,sur,320
above,au dessus,101
abroad,à l'étranger,20
absence,absence,34
abuse,abuser de,25
according,selon,23
account,Compte,30
accuse,accuser,30
acquainted,connaissance,38
action,action,162
advantage,avantage,52
advice,Conseil,19
affairs,affaires,38
affection,affection,38
affections,affections,24
afraid,peur,25
after,après,305
afterwards,ensuite,29
again,encore,244
alive,vivant,38
almost,presque,136
alone,seul,81
along,le long de,57
already,déjà,63
although,bien que,35
always,toujours,56
ambition,ambition,16
ancient,ancien,59
angel,ange,71
anger,colère,275
another,un autre,249
answer,répondre,259
anything,n'importe quoi,65
apparel,vêtements,26
appear,apparaître,81
appears,apparaît,39
approach,approche,32
argument,argument,38
ariel,Ariel,1
armour,armure,27
aside,de côté,410
asleep,endormi,13
assure,assurer,45
athens,Athènes,0
attend,assister,90
attended,assisté,28
authority,autorité,27
avoid,éviter,26
awake,éveillé,25
awhile,quelque temps,22
banish,bannir,37
barren,Dénudé,31
bassianus,bassianus,0
bastard,Connard,47
battle,bataille,70
beard,barbe,49
bearing,palier,57
bears,ours,84
beast,la bête,37
beaten,battu,36
beauty,beauté,132
because,car,80
become,devenir,124
bedford,Bedford,1
before,avant,489
beggar,mendiant,24
begin,commencer,70
behalf,nom,24
behind,derrière,74
behold,voir,96
being,étant,531
believe,croyez,161
belike,être comme,11
below,au dessous de,29
benefit,avantage,29
besides,outre,30
betray,trahir,37
better,mieux,479
between,entre,184
beyond,au-delà,40
birth,naissance,30
bishop,évêque,77
bitter,amer,64
black,noir,117
blame,faire des reproches,56
bless,bénir,88
blessing,bénédiction,23
blest,heureux,66
blind,aveugle,56
blood,du sang,371
blows,coups,38
blunt,cru,22
blush,rougir,30
bodies,corps,30
bones,des os,37
borne,supporté,77
bottom,bas,30
bought,acheté,43
bound,lié,144
bounty,prime,23
brain,cerveau,55
brains,cerveaux,22
brave,courageux,136
breast,Sein,41
breath,souffle,119
breed,race,43
brief,bref,35
bright,brillant,52
bring,apporter,364
broke,cassé,294
brook,ruisseau,33
brother,frère,263
brought,apporté,178
brows,sourcils,23
burden,fardeau,33
buried,enterré,37
burning,brûlant,42
business,Entreprise,130
cannot,ne peux pas,676
capitol,Capitole,0
captain,capitaine,29
cardinal,cardinal,5
cares,se soucie,26
carry,porter,87
castle,Château,17
catch,capture,64
cause,cause,318
cease,cesser,43
certain,certain,140
chain,chaîne,32
chair,chaise,16
challenge,défi,34
chamber,chambre,56
chance,chance,142
change,changement,162
charge,charge,173
charity,charité,24
chaste,chaste,29
cheek,joue,134
cheer,acclamation,44
chide,gronder,35
chief,chef,93
child,enfant,96
choice,choix,36
church,église,21
cinna,cinna,0
citizen,citoyenne,3
civil,civil,53
claim,prétendre,136
clarence,clarté,2
claud,claud,0
claudio,Claudio,0
clear,clair,42
clifford,Clifford,1
close,proche,79
cloten,cailloter,0
clothes,vêtements,23
clouds,des nuages,35
clown,pitre,7
college,Université,3
colour,Couleur,68
comes,vient,567
comfort,confort,123
coming,venir,100
cominius,cominius,0
command,commander,85
commanded,commandé,24
commend,saluer,61
commercial,commercial,0
commission,commission,27
commit,commettre,25
common,commun,135
companion,un compagnon,19
company,entreprise,81
complete,Achevée,15
complexion,complexion,24
condition,état,30
conduct,conduite,41
confess,avouer,83
conscience,conscience,61
consent,consentement,51
consider,considérer,34
constable,gendarme,6
constant,constant,52
contempt,mépris,20
content,contenu,123
contrary,contraire,20
copies,copies,3
copyright,droits d'auteur,7
could,pourrait,534
council,conseil,9
counsel,Conseil,63
count,compter,118
counterfeit,contrefaire,29
countess,comtesse,1
country,pays,77
courage,courage,45
course,cours,142
court,tribunal,120
courtesy,courtoisie,18
cousin,cousin,97
coward,lâche,36
crave,demander,39
creature,créature,37
credit,crédit,38
cromwell,Cromwell,0
cross,traverser,56
crown,couronne,126
cruel,cruel,55
cunning,ruse,56
cupid,Cupidon,0
curse,malédiction,90
custom,Douane,33
dagger,dague,24
damned,damné,42
dance,Danse,65
danger,danger,56
darkness,obscurité,23
daughter,fille,192
deadly,mortel,41
dearest,très cher,51
dearly,chèrement,20
death,décès,331
deeds,actes,72
defend,défendre,61
degree,diplôme,22
delight,délice,34
deliver,livrer,81
demand,demande,34
denied,refusé,38
depart,partir,33
desert,désert,24
deserve,mériter,55
desire,le désir,162
despair,désespoir,22
desperate,désespéré,42
despite,malgré,34
device,dispositif,18
devil,diable,129
devise,concevoir,36
didst,didst,140
dinner,dîner,24
discourse,discours,31
discover,découvrir,32
disgrace,disgrâce,31
dishonour,déshonorer,32
dispatch,envoi,29
displeasure,mécontentement,23
disposition,disposition,24
distributed,distribué,1
divine,Divin,28
doctor,docteur,12
doing,Faire,55
dolabella,Dolabella,0
doors,des portes,34
double,double,66
doubt,doute,129
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,59
dread,crainte,41
dreadful,horrible,57
dream,rêver,58
dreams,rêves,27
drink,boisson,108
drops,gouttes,44
drown,noyer,37
drums,tambours,23
drunk,ivre,40
duncan,Duncan,0
durst,durst,43
dwell,habiter,30
dying,en train de mourir,35
early,de bonne heure,74
earth,Terre,154
edmund,Edmund,7
effect,effet,42
egypt,Egypte,0
either,Soit,185
elbow,coude,11
elder,aîné,31
embrace,embrasse,49
emilia,Émilie,4
emperor,empereur,6
empty,vide,37
encounter,rencontre,39
endure,supporter,62
enemies,ennemis,35
enemy,ennemi,79
enjoy,prendre plaisir,33
enobarbus,énobarbus,0
enough,assez,148
enter,entrer,367
entertain,divertir,35
entertainment,divertissement,18
entreat,supplier,94
equal,égal,48
estate,biens,29
eternal,éternel,33
every,chaque,459
everything,tout,34
excellent,excellent,85
except,sauf,19
excuse,excuse,51
execution,exécution,25
exeter,Exeter,0
exeunt,sortir,58
express,Express,31
faces,visages,22
faint,perdre connaissance,26
fairy,Fée,32
faith,Foi,80
falls,des chutes,46
false,false,0
familiar,familier,27
fancy,fantaisie,33
farewell,adieu,27
farther,plus loin,26
fashion,mode,55
fatal,fatal,38
father,père,432
fault,faute,95
favour,favoriser,89
fearful,craintif,76
fears,peurs,45
feast,le banquet,54
feeble,faible,22
fellow,compagnon,168
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,100
field,champ,97
fiend,démon,37
fierce,féroce,34
fiery,ardent,43
fight,bats toi,156
figure,figure,35
finds,trouve,33
finger,doigt,42
first,première,341
flatter,flatter,29
flesh,la chair,85
flies,mouches,43
flight,vol,20
flood,inonder,23
flourish,fleurir,38
flower,fleur,23
flowers,fleurs,24
follow,suivre,191
folly,folie,34
foolish,insensé,82
fools,imbéciles,59
forbear,ancêtre,18
forbid,interdire,39
force,Obliger,184
forces,les forces,33
forest,forêt,44
forget,oublier,73
former,ancien,63
forsooth,en vérité,2
forth,en avant,246
fortune,fortune,157
forward,vers l'avant,49
fought,combattu,45
found,a trouvé,254
fourth,Quatrième,8
frame,Cadre,35
france,France,0
freely,librement,34
french,français,0
fresh,Frais,86
friend,ami,177
frown,froncer les sourcils,25
fruit,fruit,26
further,plus loin,116
gallant,galant,48
garden,jardin,32
gates,portes,60
gaunt,décharné,3
general,général,131
gentle,doux,332
ghost,fantôme,14
given,donné,179
giving,donnant,54
glass,verre,43
glorious,glorieux,39
glory,gloire,64
going,Aller,75
golden,d'or,85
goodness,la bonté,35
gower,gower,0
grace,la grâce,192
grant,subvention,85
grave,la tombe,90
great,génial,761
green,vert,56
greet,saluer,44
grief,douleur,115
grieve,pleurer,36
gross,brut,55
ground,sol,68
grown,grandi,64
guard,garde,81
guess,devine,30
guilty,coupable,51
habit,habitude,48
hands,mains,171
hanging,pendaison,42
hangs,bloque,34
happiness,bonheur,34
happy,heureux,175
haste,hâte,98
hateful,odieux,38
having,ayant,113
hazard,danger,32
heads,têtes,69
health,santé,42
heard,entendu,305
heart,cœur,582
heaven,paradis,288
heavy,lourd,139
hector,Hector,2
heels,talons,40
hence,Par conséquent,244
henceforth,désormais,24
hereafter,"ci-après, par la suite",15
herself,se,51
highness,altesse,1
holds,tient,79
hollow,creux,40
honest,honnête,221
horse,cheval,126
hostess,hôtesse,11
hours,heures,89
house,maison,316
hubert,Hubert,0
humble,humble,56
humour,humour,62
hundred,cent,105
husband,mari,127
ignorant,ignorant,39
image,image,53
includes,comprend,2
indeed,En effet,127
infinite,infini,30
innocent,innocent,40
instant,instant,45
intend,avoir l'intention,40
intent,intention,26
issue,problème,79
itself,lui-même,136
jealous,jaloux,39
jewel,bijou,34
judge,juge,40
judgment,jugement,54
julia,Julia,0
justice,Justice,80
keeps,garde,64
kindness,la gentillesse,48
kingdom,Royaume,44
kings,rois,84
knave,fripon,63
kneel,s'agenouiller,56
knees,les genoux,26
knife,couteau,26
knight,Chevalier,40
knock,frappe,63
knowing,connaissance,31
knowledge,connaissance,70
known,connu,157
knows,sait,170
labour,la main d'oeuvre,51
ladies,Dames,45
ladyship,Madame,21
lands,terres,44
large,grand,70
laugh,rire,134
launce,lancer,1
lawful,légitime,64
learn,apprendre,74
learned,appris,43
least,moins,67
leave,laisser,493
leisure,loisir,35
leontes,leontes,0
letter,lettre,123
liberty,liberté,24
library,bibliothèque,2
liege,Liege,5
lieutenant,lieutenant,6
light,lumière,333
limbs,membres,31
little,peu,404
lives,vies,121
living,vivant,83
longer,plus long,74
looks,regards,136
loose,ample,38
lords,seigneurs,62
lordship,seigneurie,63
lorenzo,Lorenzo,0
lovely,charmant,51
lovers,les amoureux,34
loves,aime,168
loving,aimant,109
lucentio,Lucentio,0
machine,machine,2
madness,la démence,31
maiden,jeune fille,34
maids,servantes,27
maintain,maintenir,31
majesty,majesté,28
makes,fait du,301
making,fabrication,49
malice,malice,47
manner,manière,79
march,Mars,60
marcius,Marcius,3
marcus,Marcus,1
margaret,margaret,2
maria,maria,0
mariana,Mariana,0
marriage,mariage,56
marry,marier,108
master,Maître,236
match,rencontre,57
matter,matière,142
meaning,sens,31
means,veux dire,197
meant,signifiait,43
measure,mesure,65
meeting,réunion,34
membership,adhésion,0
memory,Mémoire,33
merchant,marchande,13
mercy,pitié,95
merit,mérite,38
merry,joyeux,99
messenger,Messager,28
midnight,minuit,19
might,pourrait,421
mighty,puissant,97
milan,Milan,0
minds,esprits,36
minister,ministre,29
miranda,Miranda,1
mirth,gaieté,20
mischief,sottises,23
misery,misère,15
mistake,erreur,23
mistress,maîtresse,86
modest,modeste,35
money,argent,92
monster,monstre,27
month,mois,36
morning,Matin,68
morrow,demain,258
mortal,mortel,110
mother,mère,181
motion,mouvement,65
mouth,bouche,92
mowbray,mowbray,0
murder,meurtre,34
murther,aller plus loin,20
music,la musique,103
myself,moi même,259
naked,nu,39
names,des noms,25
native,originaire de,44
natural,Naturel,92
nature,la nature,231
needs,Besoins,136
neighbour,voisine,30
neither,ni,100
never,jamais,871
niece,nièce,24
night,nuit,652
noble,noble,561
noise,bruit,71
nothing,rien,366
nought,néant,42
number,nombre,38
nurse,infirmière,24
oaths,serments,53
obedience,obéissance,28
oberon,Oberon,1
object,objet,26
occasion,occasion,54
offence,infraction,51
offend,offenser,48
offer,offre,104
office,Bureau,70
often,souvent,124
oliver,oliver,0
opinion,opinion,44
order,ordre,94
orlando,orlando,0
other,autre,1539
others,autres,99
ourselves,nous-mêmes,139
outward,vers l'extérieur,45
oxford,Oxford,0
padua,Padoue,0
pains,des douleurs,46
painted,peint,45
painter,peintre,6
palace,palais,131
pandarus,Pandarus,0
paper,papier,50
pardon,pardon,159
paris,Paris,25
parolles,parolles,0
parted,séparé,42
particular,particulier,39
partly,partiellement,31
parts,les pièces,72
party,fête,38
passage,passage,29
passion,la passion,79
patience,la patience,73
patient,patient,56
paulina,paulina,1
peace,paix,161
pedro,pedro,0
people,gens,102
perceive,apercevoir,85
percy,Percy,0
perfect,parfait,58
perhaps,peut-être,22
peril,péril,25
permission,autorisation,1
person,la personne,76
personal,personnel,12
phebe,phebe,0
philip,Philippe,0
picture,image,20
piece,pièce,95
pistol,pistolet,5
place,endroit,272
plague,peste,77
plain,plaine,141
plead,plaider,34
please,S'il vous plaît,289
pleasure,plaisir,104
pluck,cueillir,88
poins,poins,0
point,point,165
poison,poison,51
policy,politique,26
polixenes,polixènes,0
pompey,pompey,0
porter,porter,31
possible,possible,67
posthumus,posthume,0
pound,livre,82
power,Puissance,205
practice,entraine toi,24
praise,louange,132
prayers,prières,49
precious,précieux,68
prepare,préparer,40
presence,présence,64
present,présent,208
pretty,jolie,95
pride,fierté,55
priest,prêtre,29
prince,prince,52
prison,prison,68
private,privé,54
prize,prix,25
proceed,procéder,24
proclaim,proclamer,28
profit,profit,32
prohibited,interdit,0
project,projet,11
prologue,prologue,12
promise,promettre,72
proof,preuve,68
proper,correct,61
protector,protecteur,1
protest,manifestation,29
proud,fier,148
prove,prouver,265
provided,à condition de,28
public,Publique,53
purpose,objectif,113
purse,bourse,47
quality,qualité,30
quarrel,querelle,65
queen,reine,54
question,question,90
quick,rapide,60
quiet,silencieux,61
quite,assez,86
quoth,quoth,61
raise,élever,160
ransom,une rançon,34
rascal,coquin,21
rather,plutôt,243
readable,lisible,1
ready,prêt,160
realm,domaine,25
reason,raison,252
receive,recevoir,72
regard,qui concerne,33
reign,règne,169
reignier,règne,0
remain,rester,40
remedy,remède,12
remember,rappelles toi,117
render,rendre,42
repair,réparation,30
repent,se repentir,33
report,rapport,89
reputation,réputation,22
request,demande,32
respect,le respect,71
return,revenir,118
revenge,vengeance,67
reverence,révérence,22
revolt,révolte,22
right,droite,596
rivers,rivières,9
rogue,coquin,24
rotten,pourri,32
rough,rugueux,178
round,rond,168
royal,Royal,195
sacred,sacré,46
safety,sécurité,41
saint,Saint,8
salerio,salerio,0
satisfied,satisfait,19
saying,en disant,39
scarce,rare,63
scene,scène,31
scorn,mépris,70
search,chercher,26
season,saison,27
second,seconde,92
secret,secret,53
seeing,voyant,40
senate,sénat,0
senator,sénateur,3
sense,sens,72
sentence,phrase,27
servant,serviteur,96
serve,servir,342
service,un service,113
seven,Sept,58
several,nombreuses,80
shadow,ombre,46
shake,secouer,86
shall,doit,3027
shame,la honte,155
shape,forme,64
sharp,tranchant,57
shepherd,berger,22
shine,éclat,60
shore,rive,29
short,court,61
shortly,prochainement,28
should,devrait,1389
shows,montre,82
sickness,maladie,35
sight,vue,104
silence,silence,34
silver,argent,46
simple,Facile,65
since,depuis,254
single,Célibataire,53
sirrah,sirrah,5
sister,sœur,84
skill,compétence,25
slain,tué,50
slander,calomnie,34
slave,esclave,49
sleep,sommeil,171
slender,mince,8
small,petit,79
smell,odeur,43
smile,sourire,45
soldier,soldat,59
solemn,solennel,38
somerset,somerset,0
something,quelque chose,128
sometime,parfois,56
sooner,plus tôt,49
soothsayer,devin,2
sorrow,chagrin,112
sorry,Pardon,71
sought,recherché,33
souls,âmes,67
sound,du son,115
sovereign,souverain,65
spare,de rechange,53
speak,parler,712
speaks,parle,95
special,spécial,57
speech,discours,62
speed,la vitesse,64
spend,dépenser,62
spirit,esprit,148
spite,dépit,73
spoke,parlait,126
sport,sport,104
spring,printemps,39
staff,Personnel,481
stain,tache,67
stand,supporter,454
stars,étoiles,39
state,Etat,199
steal,voler,69
steel,acier,32
steward,intendant,12
still,encore,349
stomach,estomac,16
stone,calcul,132
stood,se tenait,85
store,boutique,52
storm,orage,25
story,récit,67
straight,tout droit,68
strange,étrange,171
street,rue,56
strength,force,76
strike,la grève,106
stroke,accident vasculaire cérébral,33
strong,fort,140
struck,frappé,62
study,étude,36
stuff,des trucs,39
subject,matière,66
substance,substance,26
success,Succès,17
sudden,soudain,63
suddenly,tout à coup,28
suffer,souffrir,66
suffolk,suffolk,0
summer,été,45
supper,souper,22
surely,sûrement,28
surrey,Surrey,0
suspect,suspect,32
swear,jurer,215
sweat,transpiration,25
sweet,sucré,590
swift,rapide,57
sword,épée,172
swore,juré,52
sworn,juré,162
syracuse,Syracuse,0
table,table,240
tailor,tailleur,17
taken,pris,75
talbot,talbot,0
tarry,goudronneux,23
taste,goût,62
taught,enseigné,49
teach,enseigner,86
tears,larmes,146
tedious,fastidieux,36
teeth,les dents,28
tells,raconte,42
tempest,tempête,28
tender,soumissionner,125
terms,termes,45
thank,remercier,286
their,leur,1934
themselves,se,93
there,Là,1001
therefore,par conséquent,280
therein,la bride,40
these,celles-ci,1038
thief,voleur,26
thing,chose,682
think,pense,970
third,troisième,56
thomas,Thomas,0
those,ceux,458
though,bien que,494
thought,pensée,282
thrive,prospérer,30
throat,gorge,26
throne,trône,24
through,par,209
throw,jeter,133
thrust,poussée,45
thunder,tonnerre,27
times,fois,256
title,Titre,70
together,ensemble,103
tongue,langue,235
tonight,ce soir,19
touch,toucher,93
toward,vers,86
tower,la tour,3
train,train,161
traitor,traitre,53
tread,bande de roulement,36
treason,trahison,42
treasure,Trésor,34
trial,procès,33
tribunes,tribunes,15
trick,tour,44
triumph,triomphe,23
trouble,difficulté,56
truly,vraiment,77
trumpet,trompette,91
trust,confiance,150
truth,vérité,168
turns,se tourne,59
twice,deux fois,53
tyrant,tyran,29
ulysses,Ulysse,0
uncle,oncle,112
under,sous,297
understand,comprendre,82
undertake,entreprendre,40
undone,défait,22
unhappy,malheureux,25
unknown,inconnue,23
unless,sauf si,66
until,jusqu'à,43
unworthy,indigne,30
utter,prononcer,71
valentine,Valentin,0
valiant,vaillant,111
valour,valeur,48
vantage,avantage,59
vengeance,vengeance,37
venice,venise,0
version,version,8
victory,la victoire,14
villain,scélérat,72
viola,alto,5
violent,violent,37
virtue,vertu,115
visit,visite,52
voice,voix,86
walls,des murs,52
warlike,guerrier,56
warrant,mandat,140
waste,déchets,36
watch,regarder,79
water,eau,102
wealth,richesse,79
weapons,armes,20
weary,se lasser,64
weeds,mauvaises herbes,24
weeping,larmes,31
weight,poids,31
welcome,Bienvenue,141
wench,jeune fille,20
whence,d'où,54
where,où,657
wherein,où,60
whether,qu'il s'agisse,56
which,lequel,1348
while,tandis que,215
whither,où,30
whole,entier,115
whore,putain,13
whose,dont,383
widow,veuve,40
willing,prêt,43
window,la fenêtre,20
wings,ailes,34
winter,hiver,29
wisdom,sagesse,64
witch,sorcière,33
withal,avec,44
within,dans,288
without,sans pour autant,273
witness,témoin,74
wives,épouses,29
wolsey,Wolsey,0
woman,femme,236
wonder,merveille,75
works,travaux,20
world,monde,343
worse,pire,102
worship,culte,58
worth,vaut,205
would,aurait,2003
wound,blessure,50
wounded,blessés,28
wrath,colère,21
wretch,misérable,22
write,écrire,92
written,écrit,29
wrong,faux,113
wrought,forgé,36
yield,rendement,104
yonder,là-bas,42
young,Jeune,348
yours,le tiens,77
yourself,toi même,146
yout,yout,143
